id,split,origin,u,n_comp
alpaca_10073,train,alpaca,-0.9442652643475161,16
alpaca_10118,train,alpaca,1.7950071324093007,16
alpaca_1013,train,alpaca,-0.9361009902584301,16
alpaca_10141,train,alpaca,-0.5237156073328578,16
alpaca_10222,train,alpaca,0.7181414901265407,16
alpaca_10225,train,alpaca,1.1812247254681376,16
alpaca_10267,train,alpaca,-2.027007793778116,16
alpaca_10269,train,alpaca,-0.8156373426063449,16
alpaca_103,train,alpaca,-0.4345539974899209,16
alpaca_10320,train,alpaca,1.1093143215333572,16
alpaca_1033,train,alpaca,-0.02474585448073323,16
alpaca_10357,train,alpaca,-0.29879243399012834,16
alpaca_10449,train,alpaca,1.1186280303520333,16
alpaca_10454,train,alpaca,-0.06299978695887806,16
alpaca_10473,train,alpaca,-0.08674019090016491,16
alpaca_10503,train,alpaca,-0.08260105643720407,16
alpaca_10551,train,alpaca,-1.1676470412537991,16
alpaca_10565,train,alpaca,2.6630801863392337,16
alpaca_10573,train,alpaca,-1.0788943682635483,16
alpaca_10580,train,alpaca,1.2158767174865952,16
alpaca_10602,train,alpaca,-1.3669363378241992,16
alpaca_10620,train,alpaca,0.7356745155295858,16
alpaca_10640,train,alpaca,-0.4330880541779844,16
alpaca_10643,train,alpaca,-1.2137124424081518,16
alpaca_10656,train,alpaca,1.4997010533657478,16
alpaca_10728,train,alpaca,0.055576963777361,16
alpaca_10814,train,alpaca,1.0083157385791925,16
alpaca_10825,train,alpaca,0.9111376175493906,16
alpaca_1086,train,alpaca,1.435342512964391,16
alpaca_10862,train,alpaca,0.2203511952084573,16
alpaca_10874,train,alpaca,-1.156083257732243,16
alpaca_10893,train,alpaca,-1.6573656952564915,16
alpaca_1093,train,alpaca,0.5356735157320875,16
alpaca_10932,train,alpaca,0.06266746083194502,16
alpaca_10943,train,alpaca,0.8036995108323871,16
alpaca_10962,train,alpaca,0.22263382949693036,16
alpaca_11048,train,alpaca,-0.4829026608419197,16
alpaca_11053,train,alpaca,0.8408655047328424,16
alpaca_11055,train,alpaca,0.8988204670192742,16
alpaca_11180,train,alpaca,1.3076692187736871,16
alpaca_11216,train,alpaca,-0.8126840633545548,16
alpaca_11219,train,alpaca,-0.3347771873125005,16
alpaca_11255,train,alpaca,0.9203635877769157,16
alpaca_11257,train,alpaca,1.6563740090952896,16
alpaca_11277,train,alpaca,0.6719507592518142,16
alpaca_11290,train,alpaca,-1.7943953154585712,16
alpaca_11296,train,alpaca,-1.7071994951083866,16
alpaca_113,train,alpaca,-1.0273534232479073,16
alpaca_11311,train,alpaca,-1.2856336909454469,16
alpaca_11394,train,alpaca,1.1685865198389718,16
alpaca_11427,train,alpaca,0.48960193654336986,16
alpaca_11458,train,alpaca,-1.6050774944876336,16
alpaca_11463,train,alpaca,-3.5038308769364614,16
alpaca_11480,train,alpaca,-2.0069724549744175,16
alpaca_11488,train,alpaca,1.041556312374633,16
alpaca_11504,train,alpaca,0.2697754908898384,16
alpaca_11534,train,alpaca,1.0767079900330156,16
alpaca_11536,train,alpaca,0.38200482888294435,16
alpaca_11574,train,alpaca,-0.12331712571985416,16
alpaca_11606,train,alpaca,-1.5037270333306454,16
alpaca_11653,train,alpaca,-2.9811409806325506,16
